Address,Status Code,Indexability,Crawl Depth,Inlinks
https://demo-site.fr/guides/article-1-isolation-thermique,200,Indexable,1,24
https://demo-site.fr/guides/article-2-pompe-a-chaleur,200,Indexable,1,20
https://demo-site.fr/guides/article-3-panneaux-solaires,200,Indexable,1,6
https://demo-site.fr/guides/article-4-renovation-energetique,200,Indexable,1,12
https://demo-site.fr/guides/article-5-dpe-classe-g,200,Indexable,1,12
https://demo-site.fr/guides/article-6-aides-maprimerenov,200,Indexable,1,18
https://demo-site.fr/guides/article-7-chaudiere-gaz,200,Indexable,1,35
https://demo-site.fr/guides/article-8-fenetres-double-vitrage,200,Indexable,1,12
https://demo-site.fr/guides/article-9-vmc-double-flux,200,Indexable,1,19
https://demo-site.fr/guides/article-10-poele-a-granules,200,Indexable,1,20
https://demo-site.fr/guides/article-11-bardage-bois,200,Indexable,1,31
https://demo-site.fr/guides/article-12-toiture-ardoise,200,Indexable,1,22
https://demo-site.fr/blog/article-1-isolation-thermique,200,Indexable,2,33
https://demo-site.fr/blog/article-2-pompe-a-chaleur,200,Indexable,2,32
https://demo-site.fr/blog/article-3-panneaux-solaires,200,Indexable,2,9
https://demo-site.fr/blog/article-4-renovation-energetique,200,Indexable,2,3
https://demo-site.fr/blog/article-5-dpe-classe-g,200,Indexable,2,21
https://demo-site.fr/blog/article-6-aides-maprimerenov,200,Indexable,2,26
https://demo-site.fr/blog/article-7-chaudiere-gaz,200,Indexable,2,23
https://demo-site.fr/blog/article-8-fenetres-double-vitrage,200,Indexable,2,28
https://demo-site.fr/blog/article-9-vmc-double-flux,200,Indexable,2,14
https://demo-site.fr/blog/article-10-poele-a-granules,200,Indexable,2,18
https://demo-site.fr/blog/article-11-bardage-bois,200,Indexable,2,8
https://demo-site.fr/blog/article-12-toiture-ardoise,200,Indexable,2,18
https://demo-site.fr/produits/article-1-isolation-thermique,200,Indexable,3,34
https://demo-site.fr/produits/article-2-pompe-a-chaleur,200,Indexable,3,15
https://demo-site.fr/produits/article-3-panneaux-solaires,200,Indexable,3,40
https://demo-site.fr/produits/article-4-renovation-energetique,200,Indexable,3,29
https://demo-site.fr/produits/article-5-dpe-classe-g,200,Indexable,3,3
https://demo-site.fr/produits/article-6-aides-maprimerenov,200,Indexable,3,16
https://demo-site.fr/produits/article-7-chaudiere-gaz,200,Indexable,3,3
https://demo-site.fr/produits/article-8-fenetres-double-vitrage,200,Indexable,3,27
https://demo-site.fr/produits/article-9-vmc-double-flux,200,Indexable,3,11
https://demo-site.fr/produits/article-10-poele-a-granules,200,Indexable,3,4
https://demo-site.fr/produits/article-11-bardage-bois,200,Indexable,3,12
https://demo-site.fr/produits/article-12-toiture-ardoise,200,Indexable,3,30
https://demo-site.fr/comparatifs/article-1-isolation-thermique,200,Indexable,4,34
https://demo-site.fr/comparatifs/article-2-pompe-a-chaleur,200,Indexable,4,29
https://demo-site.fr/comparatifs/article-3-panneaux-solaires,200,Indexable,4,36
https://demo-site.fr/comparatifs/article-4-renovation-energetique,200,Indexable,4,16
https://demo-site.fr/comparatifs/article-5-dpe-classe-g,200,Indexable,4,35
https://demo-site.fr/comparatifs/article-6-aides-maprimerenov,200,Indexable,4,30
https://demo-site.fr/comparatifs/article-7-chaudiere-gaz,200,Indexable,4,16
https://demo-site.fr/comparatifs/article-8-fenetres-double-vitrage,200,Indexable,4,35
https://demo-site.fr/comparatifs/article-9-vmc-double-flux,200,Indexable,4,3
https://demo-site.fr/comparatifs/article-10-poele-a-granules,200,Indexable,4,27
https://demo-site.fr/comparatifs/article-11-bardage-bois,200,Indexable,4,38
https://demo-site.fr/comparatifs/article-12-toiture-ardoise,200,Indexable,4,22
https://demo-site.fr/produits/fiche-orpheline-0,200,Indexable,4,1
https://demo-site.fr/produits/fiche-orpheline-1,200,Indexable,4,1
https://demo-site.fr/produits/fiche-orpheline-2,200,Indexable,4,1
https://demo-site.fr/produits/fiche-orpheline-3,200,Indexable,4,1
https://demo-site.fr/produits/fiche-orpheline-4,200,Indexable,4,1
https://demo-site.fr/blog/tag-0,200,Non-Indexable,2,5
https://demo-site.fr/blog/tag-1,200,Non-Indexable,2,5
https://demo-site.fr/blog/tag-2,200,Non-Indexable,2,5
